1754597435.569066 server started (12692): version 3.5a, socket /tmp/tmux-0/default, protocol 8
1754597435.569098 on FreeBSD 14.3-RELEASE FreeBSD 14.3-RELEASE releng/14.3-n271432-8c9ce319fef7 GENERIC
1754597435.569111 using libevent 2.1.12-stable poll
1754597435.569117 using ncurses 6.5 20240427
1754597435.569370 input_key_build: 0x10e1b0 (KP8) is 8
1754597435.569373 input_key_build: 0x10e1b1 (KP9) is 9
1754597435.569377 input_key_build: 0x10e1b2 (KP+) is +
1754597435.569380 input_key_build: 0x10e1b3 (KP4) is 4
1754597435.569384 input_key_build: 0x10e1b4 (KP5) is 5
1754597435.569387 input_key_build: 0x10e1b5 (KP6) is 6
1754597435.569391 input_key_build: 0x10e1b6 (KP1) is 1
1754597435.569395 input_key_build: 0x10e1b7 (KP2) is 2
1754597435.569398 input_key_build: 0x10e1b8 (KP3) is 3
1754597435.569402 input_key_build: 0x10e1b9 (KPEnter) is \n
1754597435.569408 input_key_build: 0x10e1ba (KP0) is 0
1754597435.569411 input_key_build: 0x10e1bb (KP.) is .
1754597435.569415 input_key_build: 0x20000010e195 (C-F1) is \033[1;5P
1754597435.569419 input_key_build: 0x20000010e196 (C-F2) is \033[1;5Q
1754597435.569423 input_key_build: 0x20000010e197 (C-F3) is \033[1;5R
1754597435.569427 input_key_build: 0x20000010e198 (C-F4) is \033[1;5S
1754597435.569430 input_key_build: 0x20000010e199 (C-F5) is \033[15;5~
1754597435.569434 input_key_build: 0x20000010e19a (C-F6) is \033[17;5~
1754597435.569440 input_key_build: 0x20000010e19b (C-F7) is \033[18;5~
1754597435.569444 input_key_build: 0x20000010e19c (C-F8) is \033[19;5~
1754597435.569447 input_key_build: 0x20000010e19d (C-F9) is \033[20;5~
1754597435.569451 input_key_build: 0x20000010e19e (C-F10) is \033[21;5~
1754597435.569454 input_key_build: 0x20000010e19f (C-F11) is \033[23;5~
1754597435.569458 input_key_build: 0x20000010e1a0 (C-F12) is \033[24;5~
1754597435.569461 input_key_build: 0x20000010e1a1 (C-IC) is \033[2;5~
1754597435.569467 input_key_build: 0x20000010e1a2 (C-DC) is \033[3;5~
1754597435.569471 input_key_build: 0x20000010e1a3 (C-Home) is \033[1;5H
1754597435.569475 input_key_build: 0x20000010e1a4 (C-End) is \033[1;5F
1754597435.569478 input_key_build: 0x20000010e1a5 (C-NPage) is \033[6;5~
1754597435.569482 input_key_build: 0x20000010e1a6 (C-PPage) is \033[5;5~
1754597435.569485 input_key_build: 0x20000010e1a8 (C-Up) is \033[1;5A
1754597435.569489 input_key_build: 0x20000010e1a9 (C-Down) is \033[1;5B
1754597435.569495 input_key_build: 0x20000010e1aa (C-Left) is \033[1;5D
1754597435.569499 input_key_build: 0x20000010e1ab (C-Right) is \033[1;5C
1754597435.569502 input_key_build: 0x40000010e195 (S-F1) is \033[1;2P
1754597435.569506 input_key_build: 0x40000010e196 (S-F2) is \033[1;2Q
1754597435.569510 input_key_build: 0x40000010e197 (S-F3) is \033[1;2R
1754597435.569513 input_key_build: 0x40000010e198 (S-F4) is \033[1;2S
1754597435.569517 input_key_build: 0x40000010e199 (S-F5) is \033[15;2~
1754597435.569523 input_key_build: 0x40000010e19a (S-F6) is \033[17;2~
1754597435.569527 input_key_build: 0x40000010e19b (S-F7) is \033[18;2~
1754597435.569530 input_key_build: 0x40000010e19c (S-F8) is \033[19;2~
1754597435.569534 input_key_build: 0x40000010e19d (S-F9) is \033[20;2~
1754597435.569537 input_key_build: 0x40000010e19e (S-F10) is \033[21;2~
1754597435.569541 input_key_build: 0x40000010e19f (S-F11) is \033[23;2~
1754597435.569545 input_key_build: 0x40000010e1a0 (S-F12) is \033[24;2~
1754597435.569551 input_key_build: 0x40000010e1a1 (S-IC) is \033[2;2~
1754597435.569555 input_key_build: 0x40000010e1a2 (S-DC) is \033[3;2~
1754597435.569558 input_key_build: 0x40000010e1a3 (S-Home) is \033[1;2H
1754597435.569562 input_key_build: 0x40000010e1a4 (S-End) is \033[1;2F
1754597435.569565 input_key_build: 0x40000010e1a5 (S-NPage) is \033[6;2~
1754597435.569569 input_key_build: 0x40000010e1a6 (S-PPage) is \033[5;2~
1754597435.569572 input_key_build: 0x40000010e1a8 (S-Up) is \033[1;2A
1754597435.569578 input_key_build: 0x40000010e1a9 (S-Down) is \033[1;2B
1754597435.569582 input_key_build: 0x40000010e1aa (S-Left) is \033[1;2D
1754597435.569585 input_key_build: 0x40000010e1ab (S-Right) is \033[1;2C
1754597435.569589 input_key_build: 0x60000010e195 (C-S-F1) is \033[1;6P
1754597435.569593 input_key_build: 0x60000010e196 (C-S-F2) is \033[1;6Q
1754597435.569596 input_key_build: 0x60000010e197 (C-S-F3) is \033[1;6R
1754597435.569600 input_key_build: 0x60000010e198 (C-S-F4) is \033[1;6S
1754597435.569604 input_key_build: 0x60000010e199 (C-S-F5) is \033[15;6~
1754597435.569610 input_key_build: 0x60000010e19a (C-S-F6) is \033[17;6~
1754597435.569614 input_key_build: 0x60000010e19b (C-S-F7) is \033[18;6~
1754597435.569617 input_key_build: 0x60000010e19c (C-S-F8) is \033[19;6~
1754597435.569621 input_key_build: 0x60000010e19d (C-S-F9) is \033[20;6~
1754597435.569624 input_key_build: 0x60000010e19e (C-S-F10) is \033[21;6~
1754597435.569628 input_key_build: 0x60000010e19f (C-S-F11) is \033[23;6~
1754597435.569631 input_key_build: 0x60000010e1a0 (C-S-F12) is \033[24;6~
1754597435.569638 input_key_build: 0x60000010e1a1 (C-S-IC) is \033[2;6~
1754597435.569641 input_key_build: 0x60000010e1a2 (C-S-DC) is \033[3;6~
1754597435.569645 input_key_build: 0x60000010e1a3 (C-S-Home) is \033[1;6H
1754597435.569648 input_key_build: 0x60000010e1a4 (C-S-End) is \033[1;6F
1754597435.569652 input_key_build: 0x60000010e1a5 (C-S-NPage) is \033[6;6~
1754597435.569656 input_key_build: 0x60000010e1a6 (C-S-PPage) is \033[5;6~
1754597435.569662 input_key_build: 0x60000010e1a8 (C-S-Up) is \033[1;6A
1754597435.569666 input_key_build: 0x60000010e1a9 (C-S-Down) is \033[1;6B
1754597435.569670 input_key_build: 0x60000010e1aa (C-S-Left) is \033[1;6D
1754597435.569673 input_key_build: 0x60000010e1ab (C-S-Right) is \033[1;6C
1754597435.569677 input_key_build: 0x200000010e1ac (KP/[K]) is \033Oo
1754597435.569681 input_key_build: 0x200000010e1ad (KP*[K]) is \033Oj
1754597435.569685 input_key_build: 0x200000010e1ae (KP-[K]) is \033Om
1754597435.569689 input_key_build: 0x200000010e1af (KP7[K]) is \033Ow
1754597435.569695 input_key_build: 0x200000010e1b0 (KP8[K]) is \033Ox
1754597435.569699 input_key_build: 0x200000010e1b1 (KP9[K]) is \033Oy
1754597435.569703 input_key_build: 0x200000010e1b2 (KP+[K]) is \033Ok
1754597435.569707 input_key_build: 0x200000010e1b3 (KP4[K]) is \033Ot
1754597435.569710 input_key_build: 0x200000010e1b4 (KP5[K]) is \033Ou
1754597435.569714 input_key_build: 0x200000010e1b5 (KP6[K]) is \033Ov
1754597435.569717 input_key_build: 0x200000010e1b6 (KP1[K]) is \033Oq
1754597435.569723 input_key_build: 0x200000010e1b7 (KP2[K]) is \033Or
1754597435.569727 input_key_build: 0x200000010e1b8 (KP3[K]) is \033Os
1754597435.569731 input_key_build: 0x200000010e1b9 (KPEnter[K]) is \033OM
1754597435.569735 input_key_build: 0x200000010e1ba (KP0[K]) is \033Op
1754597435.569738 input_key_build: 0x200000010e1bb (KP.[K]) is \033On
1754597435.569742 input_key_build: 0x400000010e1a8 (Up[C]) is \033OA
1754597435.569746 input_key_build: 0x400000010e1a9 (Down[C]) is \033OB
1754597435.569752 input_key_build: 0x400000010e1aa (Left[C]) is \033OD
1754597435.569755 input_key_build: 0x400000010e1ab (Right[C]) is \033OC
1754597435.569759 input_key_build: 0x810000010e195 (M-F1[I]) is \033[1;3P
1754597435.569763 input_key_build: 0x810000010e196 (M-F2[I]) is \033[1;3Q
1754597435.569767 input_key_build: 0x810000010e197 (M-F3[I]) is \033[1;3R
1754597435.569771 input_key_build: 0x810000010e198 (M-F4[I]) is \033[1;3S
1754597435.569774 input_key_build: 0x810000010e199 (M-F5[I]) is \033[15;3~
1754597435.569789 input_key_build: 0x810000010e19a (M-F6[I]) is \033[17;3~
1754597435.569794 input_key_build: 0x810000010e19b (M-F7[I]) is \033[18;3~
1754597435.569798 input_key_build: 0x810000010e19c (M-F8[I]) is \033[19;3~
1754597435.569802 input_key_build: 0x810000010e19d (M-F9[I]) is \033[20;3~
1754597435.569805 input_key_build: 0x810000010e19e (M-F10[I]) is \033[21;3~
1754597435.569809 input_key_build: 0x810000010e19f (M-F11[I]) is \033[23;3~
1754597435.569813 input_key_build: 0x810000010e1a0 (M-F12[I]) is \033[24;3~
1754597435.569818 input_key_build: 0x810000010e1a1 (M-IC[I]) is \033[2;3~
1754597435.569822 input_key_build: 0x810000010e1a2 (M-DC[I]) is \033[3;3~
1754597435.569826 input_key_build: 0x810000010e1a3 (M-Home[I]) is \033[1;3H
1754597435.569829 input_key_build: 0x810000010e1a4 (M-End[I]) is \033[1;3F
1754597435.569833 input_key_build: 0x810000010e1a5 (M-NPage[I]) is \033[6;3~
1754597435.569837 input_key_build: 0x810000010e1a6 (M-PPage[I]) is \033[5;3~
1754597435.569840 input_key_build: 0x810000010e1a8 (M-Up[I]) is \033[1;3A
1754597435.569847 input_key_build: 0x810000010e1a9 (M-Down[I]) is \033[1;3B
1754597435.569850 input_key_build: 0x810000010e1aa (M-Left[I]) is \033[1;3D
1754597435.569854 input_key_build: 0x810000010e1ab (M-Right[I]) is \033[1;3C
1754597435.569858 input_key_build: 0x830000010e195 (C-M-F1[I]) is \033[1;7P
1754597435.569862 input_key_build: 0x830000010e196 (C-M-F2[I]) is \033[1;7Q
1754597435.569866 input_key_build: 0x830000010e197 (C-M-F3[I]) is \033[1;7R
1754597435.569872 input_key_build: 0x830000010e198 (C-M-F4[I]) is \033[1;7S
1754597435.569876 input_key_build: 0x830000010e199 (C-M-F5[I]) is \033[15;7~
1754597435.569880 input_key_build: 0x830000010e19a (C-M-F6[I]) is \033[17;7~
1754597435.569883 input_key_build: 0x830000010e19b (C-M-F7[I]) is \033[18;7~
1754597435.569887 input_key_build: 0x830000010e19c (C-M-F8[I]) is \033[19;7~
1754597435.569891 input_key_build: 0x830000010e19d (C-M-F9[I]) is \033[20;7~
1754597435.569895 input_key_build: 0x830000010e19e (C-M-F10[I]) is \033[21;7~
1754597435.569900 input_key_build: 0x830000010e19f (C-M-F11[I]) is \033[23;7~
1754597435.569904 input_key_build: 0x830000010e1a0 (C-M-F12[I]) is \033[24;7~
1754597435.569907 input_key_build: 0x830000010e1a1 (C-M-IC[I]) is \033[2;7~
1754597435.569911 input_key_build: 0x830000010e1a2 (C-M-DC[I]) is \033[3;7~
1754597435.569915 input_key_build: 0x830000010e1a3 (C-M-Home[I]) is \033[1;7H
1754597435.569918 input_key_build: 0x830000010e1a4 (C-M-End[I]) is \033[1;7F
1754597435.569922 input_key_build: 0x830000010e1a5 (C-M-NPage[I]) is \033[6;7~
1754597435.569927 input_key_build: 0x830000010e1a6 (C-M-PPage[I]) is \033[5;7~
1754597435.569931 input_key_build: 0x830000010e1a8 (C-M-Up[I]) is \033[1;7A
1754597435.569935 input_key_build: 0x830000010e1a9 (C-M-Down[I]) is \033[1;7B
1754597435.569938 input_key_build: 0x830000010e1aa (C-M-Left[I]) is \033[1;7D
1754597435.569942 input_key_build: 0x830000010e1ab (C-M-Right[I]) is \033[1;7C
1754597435.569945 input_key_build: 0x850000010e195 (M-S-F1[I]) is \033[1;4P
1754597435.569961 input_key_build: 0x850000010e196 (M-S-F2[I]) is \033[1;4Q
1754597435.569964 input_key_build: 0x850000010e197 (M-S-F3[I]) is \033[1;4R
1754597435.569968 input_key_build: 0x850000010e198 (M-S-F4[I]) is \033[1;4S
1754597435.569972 input_key_build: 0x850000010e199 (M-S-F5[I]) is \033[15;4~
1754597435.569975 input_key_build: 0x850000010e19a (M-S-F6[I]) is \033[17;4~
1754597435.569979 input_key_build: 0x850000010e19b (M-S-F7[I]) is \033[18;4~
1754597435.569983 input_key_build: 0x850000010e19c (M-S-F8[I]) is \033[19;4~
1754597435.569990 input_key_build: 0x850000010e19d (M-S-F9[I]) is \033[20;4~
1754597435.569994 input_key_build: 0x850000010e19e (M-S-F10[I]) is \033[21;4~
1754597435.569997 input_key_build: 0x850000010e19f (M-S-F11[I]) is \033[23;4~
1754597435.570001 input_key_build: 0x850000010e1a0 (M-S-F12[I]) is \033[24;4~
1754597435.570005 input_key_build: 0x850000010e1a1 (M-S-IC[I]) is \033[2;4~
1754597435.570008 input_key_build: 0x850000010e1a2 (M-S-DC[I]) is \033[3;4~
1754597435.570012 input_key_build: 0x850000010e1a3 (M-S-Home[I]) is \033[1;4H
1754597435.570018 input_key_build: 0x850000010e1a4 (M-S-End[I]) is \033[1;4F
1754597435.570021 input_key_build: 0x850000010e1a5 (M-S-NPage[I]) is \033[6;4~
1754597435.570025 input_key_build: 0x850000010e1a6 (M-S-PPage[I]) is \033[5;4~
1754597435.570029 input_key_build: 0x850000010e1a8 (M-S-Up[I]) is \033[1;4A
1754597435.570032 input_key_build: 0x850000010e1a9 (M-S-Down[I]) is \033[1;4B
1754597435.570036 input_key_build: 0x850000010e1aa (M-S-Left[I]) is \033[1;4D
1754597435.570042 input_key_build: 0x850000010e1ab (M-S-Right[I]) is \033[1;4C
1754597435.570045 input_key_build: 0x870000010e195 (C-M-S-F1[I]) is \033[1;8P
1754597435.570049 input_key_build: 0x870000010e196 (C-M-S-F2[I]) is \033[1;8Q
1754597435.570052 input_key_build: 0x870000010e197 (C-M-S-F3[I]) is \033[1;8R
1754597435.570056 input_key_build: 0x870000010e198 (C-M-S-F4[I]) is \033[1;8S
1754597435.570060 input_key_build: 0x870000010e199 (C-M-S-F5[I]) is \033[15;8~
1754597435.570063 input_key_build: 0x870000010e19a (C-M-S-F6[I]) is \033[17;8~
1754597435.570070 input_key_build: 0x870000010e19b (C-M-S-F7[I]) is \033[18;8~
1754597435.570073 input_key_build: 0x870000010e19c (C-M-S-F8[I]) is \033[19;8~
1754597435.570077 input_key_build: 0x870000010e19d (C-M-S-F9[I]) is \033[20;8~
1754597435.570080 input_key_build: 0x870000010e19e (C-M-S-F10[I]) is \033[21;8~
1754597435.570084 input_key_build: 0x870000010e19f (C-M-S-F11[I]) is \033[23;8~
1754597435.570087 input_key_build: 0x870000010e1a0 (C-M-S-F12[I]) is \033[24;8~
1754597435.570105 input_key_build: 0x870000010e1a1 (C-M-S-IC[I]) is \033[2;8~
1754597435.570109 input_key_build: 0x870000010e1a2 (C-M-S-DC[I]) is \033[3;8~
1754597435.570113 input_key_build: 0x870000010e1a3 (C-M-S-Home[I]) is \033[1;8H
1754597435.570116 input_key_build: 0x870000010e1a4 (C-M-S-End[I]) is \033[1;8F
1754597435.570120 input_key_build: 0x870000010e1a5 (C-M-S-NPage[I]) is \033[6;8~
1754597435.570124 input_key_build: 0x870000010e1a6 (C-M-S-PPage[I]) is \033[5;8~
1754597435.570128 input_key_build: 0x870000010e1a8 (C-M-S-Up[I]) is \033[1;8A
1754597435.570133 input_key_build: 0x870000010e1a9 (C-M-S-Down[I]) is \033[1;8B
1754597435.570138 input_key_build: 0x870000010e1aa (C-M-S-Left[I]) is \033[1;8D
1754597435.570141 input_key_build: 0x870000010e1ab (C-M-S-Right[I]) is \033[1;8C
1754597435.570176 yylex_token: end at WS
1754597435.570183 yylex_token: bind
1754597435.570188 yylex_token: end at WS
1754597435.570195 yylex_token: -N
1754597435.570203 yylex_token: end at WS
1754597435.570207 yylex_token: Send the prefix key
1754597435.570213 yylex_token: end at WS
1754597435.570216 yylex_token: C-b
1754597435.570220 yylex_token: end at WS
1754597435.570223 yylex_token: send-prefix
1754597435.570229 cmd_parse_build_commands 0:0: bind
1754597435.570233 cmd_parse_build_commands 0:1: -N
1754597435.570236 cmd_parse_build_commands 0:2: Send the prefix key
1754597435.570240 cmd_parse_build_commands 0:3: C-b
1754597435.570244 cmd_parse_build_commands 0:4 0:0: send-prefix
1754597435.570259 cmd_parse_build_commands 0:0: send-prefix
1754597435.570285 args_parse: flags end at 1 of 1
1754597435.570294 cmd_parse_build_commands: send-prefix
1754597435.570298 args_parse_flags: next -N
1754597435.570303 args_parse_flag_argument: -N = Send the prefix key
1754597435.570307 args_parse_flags: next C-b
1754597435.570310 args_parse: flags end at 3 of 5
1754597435.570314 args_parse: 3 = C-b (type STRING)
1754597435.570321 args_parse: 4 = send-prefix (type COMMANDS)
1754597435.570331 cmd_parse_build_commands: bind-key -N "Send the prefix key" C-b { send-prefix }
1754597435.570341 cmdq_get_command: [bind-key/0x13064c4a2200] group 2
1754597435.570345 cmdq_append <global>: [bind-key/0x13064c4a2200]
1754597435.570349 yylex_token: end at WS
1754597435.570352 yylex_token: bind
1754597435.570356 yylex_token: end at WS
1754597435.570359 yylex_token: -N
1754597435.570364 yylex_token: end at WS
1754597435.570367 yylex_token: Rotate through the panes
1754597435.570371 yylex_token: end at WS
1754597435.570374 yylex_token: C-o
1754597435.570378 yylex_token: end at WS
1754597435.570384 yylex_token: rotate-window
1754597435.570388 cmd_parse_build_commands 0:0: bind
1754597435.570392 cmd_parse_build_commands 0:1: -N
1754597435.570396 cmd_parse_build_commands 0:2: Rotate through the panes
1754597435.570399 cmd_parse_build_commands 0:3: C-o
1754597435.570403 cmd_parse_build_commands 0:4 0:0: rotate-window
1754597435.570408 cmd_parse_build_commands 0:0: rotate-window
1754597435.570413 args_parse: flags end at 1 of 1
1754597435.570417 cmd_parse_build_commands: rotate-window
1754597435.570422 args_parse_flags: next -N
1754597435.570426 args_parse_flag_argument: -N = Rotate through the panes
1754597435.570430 args_parse_flags: next C-o
1754597435.570433 args_parse: flags end at 3 of 5
1754597435.570437 args_parse: 3 = C-o (type STRING)
1754597435.570441 args_parse: 4 = rotate-window (type COMMANDS)
1754597435.570448 cmd_parse_build_commands: bind-key -N "Rotate through the panes" C-o { rotate-window }
1754597435.570453 cmdq_get_command: [bind-key/0x13064c4a2300] group 10
1754597435.570459 cmdq_append <global>: [bind-key/0x13064c4a2300]
1754597435.570462 yylex_token: end at WS
1754597435.570466 yylex_token: bind
1754597435.570469 yylex_token: end at WS
1754597435.570473 yylex_token: -N
1754597435.570477 yylex_token: end at WS
1754597435.570481 yylex_token: Suspend the current client
1754597435.570484 yylex_token: end at WS
1754597435.570488 yylex_token: C-z
1754597435.570492 yylex_token: end at WS
1754597435.570495 yylex_token: suspend-client
1754597435.570499 cmd_parse_build_commands 0:0: bind
1754597435.570505 cmd_parse_build_commands 0:1: -N
1754597435.570508 cmd_parse_build_commands 0:2: Suspend the current client
1754597435.570512 cmd_parse_build_commands 0:3: C-z
1754597435.570515 cmd_parse_build_commands 0:4 0:0: suspend-client
1754597435.570520 cmd_parse_build_commands 0:0: suspend-client
1754597435.570526 args_parse: flags end at 1 of 1
1754597435.570530 cmd_parse_build_commands: suspend-client
1754597435.570533 args_parse_flags: next -N
1754597435.570537 args_parse_flag_argument: -N = Suspend the current client
1754597435.570542 args_parse_flags: next C-z
1754597435.570545 args_parse: flags end at 3 of 5
1754597435.570549 args_parse: 3 = C-z (type STRING)
1754597435.570553 args_parse: 4 = suspend-client (type COMMANDS)
1754597435.570560 cmd_parse_build_commands: bind-key -N "Suspend the current client" C-z { suspend-client }
1754597435.570564 cmdq_get_command: [bind-key/0x13064c4a2400] group 18
1754597435.570568 cmdq_append <global>: [bind-key/0x13064c4a2400]
1754597435.570573 yylex_token: end at WS
1754597435.570577 yylex_token: bind
1754597435.570580 yylex_token: end at WS
1754597435.570583 yylex_token: -N
1754597435.570588 yylex_token: end at WS
1754597435.570591 yylex_token: Select next layout
1754597435.570595 yylex_token: end at WS
1754597435.570598 yylex_token: Space
1754597435.570602 yylex_token: end at WS
1754597435.570606 yylex_token: next-layout
1754597435.570610 cmd_parse_build_commands 0:0: bind
1754597435.570613 cmd_parse_build_commands 0:1: -N
1754597435.570620 cmd_parse_build_commands 0:2: Select next layout
1754597435.570624 cmd_parse_build_commands 0:3: Space
1754597435.570628 cmd_parse_build_commands 0:4 0:0: next-layout
1754597435.570632 cmd_parse_build_commands 0:0: next-layout
1754597435.570637 args_parse: flags end at 1 of 1
1754597435.570640 cmd_parse_build_commands: next-layout
1754597435.570644 args_parse_flags: next -N
1754597435.570647 args_parse_flag_argument: -N = Select next layout
1754597435.570651 args_parse_flags: next Space
1754597435.570658 args_parse: flags end at 3 of 5
1754597435.570661 args_parse: 3 = Space (type STRING)
1754597435.570665 args_parse: 4 = next-layout (type COMMANDS)
1754597435.570672 cmd_parse_build_commands: bind-key -N "Select next layout" Space { next-layout }
1754597435.570676 cmdq_get_command: [bind-key/0x13064c4a2500] group 26
1754597435.570680 cmdq_append <global>: [bind-key/0x13064c4a2500]
1754597435.570684 yylex_token: end at WS
1754597435.570687 yylex_token: bind
1754597435.570690 yylex_token: end at WS
1754597435.570696 yylex_token: -N
1754597435.570701 yylex_token: end at WS
1754597435.570704 yylex_token: Break pane to a new window
1754597435.570708 yylex_token: end at WS
1754597435.570711 yylex_token: !
1754597435.570715 yylex_token: end at WS
1754597435.570718 yylex_token: break-pane
1754597435.570723 cmd_parse_build_commands 0:0: bind
1754597435.570726 cmd_parse_build_commands 0:1: -N
1754597435.570730 cmd_parse_build_commands 0:2: Break pane to a new window
1754597435.570733 cmd_parse_build_commands 0:3: !
1754597435.570740 cmd_parse_build_commands 0:4 0:0: break-pane
1754597435.570744 cmd_parse_build_commands 0:0: break-pane
1754597435.570748 args_parse: flags end at 1 of 1
1754597435.570752 cmd_parse_build_commands: break-pane
1754597435.570755 args_parse_flags: next -N
1754597435.570759 args_parse_flag_argument: -N = Break pane to a new window
1754597435.570762 args_parse_flags: next !
1754597435.570765 args_parse: flags end at 3 of 5
1754597435.570769 args_parse: 3 = ! (type STRING)
1754597435.570775 args_parse: 4 = break-pane (type COMMANDS)
1754597435.570790 cmd_parse_build_commands: bind-key -N "Break pane to a new window" ! { break-pane }
1754597435.570794 cmdq_get_command: [bind-key/0x13064c4a2600] group 34
1754597435.570798 cmdq_append <global>: [bind-key/0x13064c4a2600]
1754597435.570802 yylex_token: end at WS
1754597435.570805 yylex_token: bind
1754597435.570808 yylex_token: end at WS
1754597435.570812 yylex_token: -N
1754597435.570817 yylex_token: end at WS
1754597435.570829 yylex_token: Split window vertically
1754597435.570834 yylex_token: end at WS
1754597435.570837 yylex_token: "
1754597435.570841 yylex_token: end at WS
1754597435.570845 yylex_token: split-window
1754597435.570849 cmd_parse_build_commands 0:0: bind
1754597435.570852 cmd_parse_build_commands 0:1: -N
1754597435.570856 cmd_parse_build_commands 0:2: Split window vertically
1754597435.570859 cmd_parse_build_commands 0:3: "
1754597435.570863 cmd_parse_build_commands 0:4 0:0: split-window
1754597435.570868 cmd_parse_build_commands 0:0: split-window
1754597435.570875 args_parse: flags end at 1 of 1
1754597435.570879 cmd_parse_build_commands: split-window
1754597435.570882 args_parse_flags: next -N
1754597435.570886 args_parse_flag_argument: -N = Split window vertically
1754597435.570889 args_parse_flags: next "
1754597435.570893 args_parse: flags end at 3 of 5
1754597435.570896 args_parse: 3 = " (type STRING)
1754597435.570900 args_parse: 4 = split-window (type COMMANDS)
1754597435.570907 cmd_parse_build_commands: bind-key -N "Split window vertically" \\" { split-window }
1754597435.570913 cmdq_get_command: [bind-key/0x13064c4a2700] group 42
1754597435.570917 cmdq_append <global>: [bind-key/0x13064c4a2700]
1754597435.570920 yylex_token: end at WS
1754597435.570924 yylex_token: bind
1754597435.570927 yylex_token: end at WS
1754597435.570930 yylex_token: -N
1754597435.570935 yylex_token: end at WS
1754597435.570938 yylex_token: List all paste buffers
1754597435.570942 yylex_token: end at WS
1754597435.570945 yylex_token: #
1754597435.570953 yylex_token: end at WS
1754597435.570956 yylex_token: list-buffers
1754597435.570960 cmd_parse_build_commands 0:0: bind
1754597435.570963 cmd_parse_build_commands 0:1: -N
1754597435.570967 cmd_parse_build_commands 0:2: List all paste buffers
1754597435.570970 cmd_parse_build_commands 0:3: #
1754597435.570974 cmd_parse_build_commands 0:4 0:0: list-buffers
1754597435.570978 cmd_parse_build_commands 0:0: list-buffers
1754597435.570982 args_parse: flags end at 1 of 1
1754597435.570986 cmd_parse_build_commands: list-buffers
1754597435.571009 args_parse_flags: next -N
1754597435.571013 args_parse_flag_argument: -N = List all paste buffers
1754597435.571017 args_parse_flags: next #
1754597435.571020 args_parse: flags end at 3 of 5
1754597435.571024 args_parse: 3 = # (type STRING)
1754597435.571028 args_parse: 4 = list-buffers (type COMMANDS)
1754597435.571035 cmd_parse_build_commands: bind-key -N "List all paste buffers" \\# { list-buffers }
1754597435.571039 cmdq_get_command: [bind-key/0x13064c4a2800] group 50
1754597435.571045 cmdq_append <global>: [bind-key/0x13064c4a2800]
1754597435.571049 yylex_token: end at WS
1754597435.571052 yylex_token: bind
1754597435.571056 yylex_token: end at WS
1754597435.571059 yylex_token: -N
1754597435.571064 yylex_token: end at WS
1754597435.571067 yylex_token: Rename current session
1754597435.571072 yylex_token: end at WS
1754597435.571075 yylex_token: $
1754597435.571080 yylex_token: end at WS
1754597435.571084 yylex_token: command-prompt
1754597435.571088 yylex_token: end at WS
1754597435.571094 yylex_token: -I#S
1754597435.571099 yylex_token: end at WS
1754597435.571102 yylex_token: rename-session
1754597435.571106 yylex_token: end at WS
1754597435.571110 yylex_token: --
1754597435.571114 yylex_token: end at WS
