1754597451.434965 server started (12702): version next-3.6, socket /tmp/tmux-0/default, protocol 8
1754597451.434972 on FreeBSD 14.3-RELEASE FreeBSD 14.3-RELEASE releng/14.3-n271432-8c9ce319fef7 GENERIC
1754597451.434975 using libevent 2.1.12-stable poll
1754597451.434978 using ncurses 6.5 20240427
1754597451.435272 input_key_build: 0x40000010e25d (S-F3) is \033[1;2R
1754597451.435276 input_key_build: 0x40000010e25e (S-F4) is \033[1;2S
1754597451.435279 input_key_build: 0x40000010e25f (S-F5) is \033[15;2~
1754597451.435282 input_key_build: 0x40000010e260 (S-F6) is \033[17;2~
1754597451.435285 input_key_build: 0x40000010e261 (S-F7) is \033[18;2~
1754597451.435288 input_key_build: 0x40000010e262 (S-F8) is \033[19;2~
1754597451.435291 input_key_build: 0x40000010e263 (S-F9) is \033[20;2~
1754597451.435294 input_key_build: 0x40000010e264 (S-F10) is \033[21;2~
1754597451.435300 input_key_build: 0x40000010e265 (S-F11) is \033[23;2~
1754597451.435303 input_key_build: 0x40000010e266 (S-F12) is \033[24;2~
1754597451.435306 input_key_build: 0x40000010e267 (S-IC) is \033[2;2~
1754597451.435309 input_key_build: 0x40000010e268 (S-DC) is \033[3;2~
1754597451.435312 input_key_build: 0x40000010e269 (S-Home) is \033[1;2H
1754597451.435315 input_key_build: 0x40000010e26a (S-End) is \033[1;2F
1754597451.435318 input_key_build: 0x40000010e26b (S-NPage) is \033[6;2~
1754597451.435323 input_key_build: 0x40000010e26c (S-PPage) is \033[5;2~
1754597451.435326 input_key_build: 0x40000010e26e (S-Up) is \033[1;2A
1754597451.435329 input_key_build: 0x40000010e26f (S-Down) is \033[1;2B
1754597451.435333 input_key_build: 0x40000010e270 (S-Left) is \033[1;2D
1754597451.435336 input_key_build: 0x40000010e271 (S-Right) is \033[1;2C
1754597451.435339 input_key_build: 0x60000010e25b (C-S-F1) is \033[1;6P
1754597451.435342 input_key_build: 0x60000010e25c (C-S-F2) is \033[1;6Q
1754597451.435347 input_key_build: 0x60000010e25d (C-S-F3) is \033[1;6R
1754597451.435350 input_key_build: 0x60000010e25e (C-S-F4) is \033[1;6S
1754597451.435353 input_key_build: 0x60000010e25f (C-S-F5) is \033[15;6~
1754597451.435356 input_key_build: 0x60000010e260 (C-S-F6) is \033[17;6~
1754597451.435359 input_key_build: 0x60000010e261 (C-S-F7) is \033[18;6~
1754597451.435362 input_key_build: 0x60000010e262 (C-S-F8) is \033[19;6~
1754597451.435365 input_key_build: 0x60000010e263 (C-S-F9) is \033[20;6~
1754597451.435370 input_key_build: 0x60000010e264 (C-S-F10) is \033[21;6~
1754597451.435373 input_key_build: 0x60000010e265 (C-S-F11) is \033[23;6~
1754597451.435377 input_key_build: 0x60000010e266 (C-S-F12) is \033[24;6~
1754597451.435380 input_key_build: 0x60000010e267 (C-S-IC) is \033[2;6~
1754597451.435383 input_key_build: 0x60000010e268 (C-S-DC) is \033[3;6~
1754597451.435386 input_key_build: 0x60000010e269 (C-S-Home) is \033[1;6H
1754597451.435389 input_key_build: 0x60000010e26a (C-S-End) is \033[1;6F
1754597451.435395 input_key_build: 0x60000010e26b (C-S-NPage) is \033[6;6~
1754597451.435398 input_key_build: 0x60000010e26c (C-S-PPage) is \033[5;6~
1754597451.435401 input_key_build: 0x60000010e26e (C-S-Up) is \033[1;6A
1754597451.435404 input_key_build: 0x60000010e26f (C-S-Down) is \033[1;6B
1754597451.435407 input_key_build: 0x60000010e270 (C-S-Left) is \033[1;6D
1754597451.435411 input_key_build: 0x60000010e271 (C-S-Right) is \033[1;6C
1754597451.435414 input_key_build: 0x200000010e272 (KP/[K]) is \033Oo
1754597451.435419 input_key_build: 0x200000010e273 (KP*[K]) is \033Oj
1754597451.435422 input_key_build: 0x200000010e274 (KP-[K]) is \033Om
1754597451.435426 input_key_build: 0x200000010e275 (KP7[K]) is \033Ow
1754597451.435429 input_key_build: 0x200000010e276 (KP8[K]) is \033Ox
1754597451.435432 input_key_build: 0x200000010e277 (KP9[K]) is \033Oy
1754597451.435435 input_key_build: 0x200000010e278 (KP+[K]) is \033Ok
1754597451.435438 input_key_build: 0x200000010e279 (KP4[K]) is \033Ot
1754597451.435441 input_key_build: 0x200000010e27a (KP5[K]) is \033Ou
1754597451.435447 input_key_build: 0x200000010e27b (KP6[K]) is \033Ov
1754597451.435450 input_key_build: 0x200000010e27c (KP1[K]) is \033Oq
1754597451.435453 input_key_build: 0x200000010e27d (KP2[K]) is \033Or
1754597451.435456 input_key_build: 0x200000010e27e (KP3[K]) is \033Os
1754597451.435459 input_key_build: 0x200000010e27f (KPEnter[K]) is \033OM
1754597451.435462 input_key_build: 0x200000010e280 (KP0[K]) is \033Op
1754597451.435465 input_key_build: 0x200000010e281 (KP.[K]) is \033On
1754597451.435470 input_key_build: 0x400000010e26e (Up[C]) is \033OA
1754597451.435474 input_key_build: 0x400000010e26f (Down[C]) is \033OB
1754597451.435477 input_key_build: 0x400000010e270 (Left[C]) is \033OD
1754597451.435480 input_key_build: 0x400000010e271 (Right[C]) is \033OC
1754597451.435483 input_key_build: 0x800000010e003 (PasteStart[I]) is \033[200~
1754597451.435486 input_key_build: 0x800000010e004 (PasteEnd[I]) is \033[201~
1754597451.435489 input_key_build: 0x810000010e25b (M-F1[I]) is \033[1;3P
1754597451.435494 input_key_build: 0x810000010e25c (M-F2[I]) is \033[1;3Q
1754597451.435497 input_key_build: 0x810000010e25d (M-F3[I]) is \033[1;3R
1754597451.435500 input_key_build: 0x810000010e25e (M-F4[I]) is \033[1;3S
1754597451.435503 input_key_build: 0x810000010e25f (M-F5[I]) is \033[15;3~
1754597451.435506 input_key_build: 0x810000010e260 (M-F6[I]) is \033[17;3~
1754597451.435509 input_key_build: 0x810000010e261 (M-F7[I]) is \033[18;3~
1754597451.435513 input_key_build: 0x810000010e262 (M-F8[I]) is \033[19;3~
1754597451.435517 input_key_build: 0x810000010e263 (M-F9[I]) is \033[20;3~
1754597451.435520 input_key_build: 0x810000010e264 (M-F10[I]) is \033[21;3~
1754597451.435523 input_key_build: 0x810000010e265 (M-F11[I]) is \033[23;3~
1754597451.435526 input_key_build: 0x810000010e266 (M-F12[I]) is \033[24;3~
1754597451.435529 input_key_build: 0x810000010e267 (M-IC[I]) is \033[2;3~
1754597451.435532 input_key_build: 0x810000010e268 (M-DC[I]) is \033[3;3~
1754597451.435535 input_key_build: 0x810000010e269 (M-Home[I]) is \033[1;3H
1754597451.435541 input_key_build: 0x810000010e26a (M-End[I]) is \033[1;3F
1754597451.435544 input_key_build: 0x810000010e26b (M-NPage[I]) is \033[6;3~
1754597451.435547 input_key_build: 0x810000010e26c (M-PPage[I]) is \033[5;3~
1754597451.435550 input_key_build: 0x810000010e26e (M-Up[I]) is \033[1;3A
1754597451.435553 input_key_build: 0x810000010e26f (M-Down[I]) is \033[1;3B
1754597451.435557 input_key_build: 0x810000010e270 (M-Left[I]) is \033[1;3D
1754597451.435562 input_key_build: 0x810000010e271 (M-Right[I]) is \033[1;3C
1754597451.435565 input_key_build: 0x830000010e25b (C-M-F1[I]) is \033[1;7P
1754597451.435568 input_key_build: 0x830000010e25c (C-M-F2[I]) is \033[1;7Q
1754597451.435571 input_key_build: 0x830000010e25d (C-M-F3[I]) is \033[1;7R
1754597451.435574 input_key_build: 0x830000010e25e (C-M-F4[I]) is \033[1;7S
1754597451.435578 input_key_build: 0x830000010e25f (C-M-F5[I]) is \033[15;7~
1754597451.435581 input_key_build: 0x830000010e260 (C-M-F6[I]) is \033[17;7~
1754597451.435585 input_key_build: 0x830000010e261 (C-M-F7[I]) is \033[18;7~
1754597451.435589 input_key_build: 0x830000010e262 (C-M-F8[I]) is \033[19;7~
1754597451.435592 input_key_build: 0x830000010e263 (C-M-F9[I]) is \033[20;7~
1754597451.435595 input_key_build: 0x830000010e264 (C-M-F10[I]) is \033[21;7~
1754597451.435598 input_key_build: 0x830000010e265 (C-M-F11[I]) is \033[23;7~
1754597451.435601 input_key_build: 0x830000010e266 (C-M-F12[I]) is \033[24;7~
1754597451.435604 input_key_build: 0x830000010e267 (C-M-IC[I]) is \033[2;7~
1754597451.435609 input_key_build: 0x830000010e268 (C-M-DC[I]) is \033[3;7~
1754597451.435612 input_key_build: 0x830000010e269 (C-M-Home[I]) is \033[1;7H
1754597451.435615 input_key_build: 0x830000010e26a (C-M-End[I]) is \033[1;7F
1754597451.435619 input_key_build: 0x830000010e26b (C-M-NPage[I]) is \033[6;7~
1754597451.435622 input_key_build: 0x830000010e26c (C-M-PPage[I]) is \033[5;7~
1754597451.435625 input_key_build: 0x830000010e26e (C-M-Up[I]) is \033[1;7A
1754597451.435638 input_key_build: 0x830000010e26f (C-M-Down[I]) is \033[1;7B
1754597451.435642 input_key_build: 0x830000010e270 (C-M-Left[I]) is \033[1;7D
1754597451.435647 input_key_build: 0x830000010e271 (C-M-Right[I]) is \033[1;7C
1754597451.435651 input_key_build: 0x850000010e25b (M-S-F1[I]) is \033[1;4P
1754597451.435655 input_key_build: 0x850000010e25c (M-S-F2[I]) is \033[1;4Q
1754597451.435660 input_key_build: 0x850000010e25d (M-S-F3[I]) is \033[1;4R
1754597451.435665 input_key_build: 0x850000010e25e (M-S-F4[I]) is \033[1;4S
1754597451.435672 input_key_build: 0x850000010e25f (M-S-F5[I]) is \033[15;4~
1754597451.435677 input_key_build: 0x850000010e260 (M-S-F6[I]) is \033[17;4~
1754597451.435681 input_key_build: 0x850000010e261 (M-S-F7[I]) is \033[18;4~
1754597451.435684 input_key_build: 0x850000010e262 (M-S-F8[I]) is \033[19;4~
1754597451.435687 input_key_build: 0x850000010e263 (M-S-F9[I]) is \033[20;4~
1754597451.435690 input_key_build: 0x850000010e264 (M-S-F10[I]) is \033[21;4~
1754597451.435693 input_key_build: 0x850000010e265 (M-S-F11[I]) is \033[23;4~
1754597451.435698 input_key_build: 0x850000010e266 (M-S-F12[I]) is \033[24;4~
1754597451.435701 input_key_build: 0x850000010e267 (M-S-IC[I]) is \033[2;4~
1754597451.435705 input_key_build: 0x850000010e268 (M-S-DC[I]) is \033[3;4~
1754597451.435708 input_key_build: 0x850000010e269 (M-S-Home[I]) is \033[1;4H
1754597451.435711 input_key_build: 0x850000010e26a (M-S-End[I]) is \033[1;4F
1754597451.435714 input_key_build: 0x850000010e26b (M-S-NPage[I]) is \033[6;4~
1754597451.435719 input_key_build: 0x850000010e26c (M-S-PPage[I]) is \033[5;4~
1754597451.435722 input_key_build: 0x850000010e26e (M-S-Up[I]) is \033[1;4A
1754597451.435725 input_key_build: 0x850000010e26f (M-S-Down[I]) is \033[1;4B
1754597451.435728 input_key_build: 0x850000010e270 (M-S-Left[I]) is \033[1;4D
1754597451.435731 input_key_build: 0x850000010e271 (M-S-Right[I]) is \033[1;4C
1754597451.435734 input_key_build: 0x870000010e25b (C-M-S-F1[I]) is \033[1;8P
1754597451.435738 input_key_build: 0x870000010e25c (C-M-S-F2[I]) is \033[1;8Q
1754597451.435743 input_key_build: 0x870000010e25d (C-M-S-F3[I]) is \033[1;8R
1754597451.435746 input_key_build: 0x870000010e25e (C-M-S-F4[I]) is \033[1;8S
1754597451.435749 input_key_build: 0x870000010e25f (C-M-S-F5[I]) is \033[15;8~
1754597451.435752 input_key_build: 0x870000010e260 (C-M-S-F6[I]) is \033[17;8~
1754597451.435756 input_key_build: 0x870000010e261 (C-M-S-F7[I]) is \033[18;8~
1754597451.435759 input_key_build: 0x870000010e262 (C-M-S-F8[I]) is \033[19;8~
1754597451.435765 input_key_build: 0x870000010e263 (C-M-S-F9[I]) is \033[20;8~
1754597451.435768 input_key_build: 0x870000010e264 (C-M-S-F10[I]) is \033[21;8~
1754597451.435771 input_key_build: 0x870000010e265 (C-M-S-F11[I]) is \033[23;8~
1754597451.435774 input_key_build: 0x870000010e266 (C-M-S-F12[I]) is \033[24;8~
1754597451.435777 input_key_build: 0x870000010e267 (C-M-S-IC[I]) is \033[2;8~
1754597451.435781 input_key_build: 0x870000010e268 (C-M-S-DC[I]) is \033[3;8~
1754597451.435784 input_key_build: 0x870000010e269 (C-M-S-Home[I]) is \033[1;8H
1754597451.435789 input_key_build: 0x870000010e26a (C-M-S-End[I]) is \033[1;8F
1754597451.435798 input_key_build: 0x870000010e26b (C-M-S-NPage[I]) is \033[6;8~
1754597451.435802 input_key_build: 0x870000010e26c (C-M-S-PPage[I]) is \033[5;8~
1754597451.435805 input_key_build: 0x870000010e26e (C-M-S-Up[I]) is \033[1;8A
1754597451.435808 input_key_build: 0x870000010e26f (C-M-S-Down[I]) is \033[1;8B
1754597451.435811 input_key_build: 0x870000010e270 (C-M-S-Left[I]) is \033[1;8D
1754597451.435816 input_key_build: 0x870000010e271 (C-M-S-Right[I]) is \033[1;8C
1754597451.435842 yylex_token: end at WS
1754597451.435845 yylex_token: bind
1754597451.435848 yylex_token: end at WS
1754597451.435851 yylex_token: -N
1754597451.435854 yylex_token: end at WS
1754597451.435857 yylex_token: Send the prefix key
1754597451.435860 yylex_token: end at WS
1754597451.435863 yylex_token: C-b
1754597451.435866 yylex_token: end at WS
1754597451.435869 yylex_token: send-prefix
1754597451.435884 cmd_parse_build_commands 0:0: bind
1754597451.435887 cmd_parse_build_commands 0:1: -N
1754597451.435890 cmd_parse_build_commands 0:2: Send the prefix key
1754597451.435893 cmd_parse_build_commands 0:3: C-b
1754597451.435896 cmd_parse_build_commands 0:4 0:0: send-prefix
1754597451.435902 cmd_parse_build_commands 0:0: send-prefix
1754597451.435909 args_parse: flags end at 1 of 1
1754597451.435913 cmd_parse_build_commands: send-prefix
1754597451.435915 args_parse_flags: next -N
1754597451.435919 args_parse_flag_argument: -N = Send the prefix key
1754597451.435925 args_parse_flags: next C-b
1754597451.435928 args_parse: flags end at 3 of 5
1754597451.435931 args_parse: 3 = C-b (type STRING)
1754597451.435935 args_parse: 4 = send-prefix (type COMMANDS)
1754597451.435943 cmd_parse_build_commands: bind-key -N "Send the prefix key" C-b { send-prefix }
1754597451.435949 cmdq_get_command: [bind-key/0x1920492ab400] group 6
1754597451.435952 cmdq_append <global>: [bind-key/0x1920492ab400]
1754597451.435955 yylex_token: end at WS
1754597451.435959 yylex_token: bind
1754597451.435962 yylex_token: end at WS
1754597451.435964 yylex_token: -N
1754597451.435968 yylex_token: end at WS
1754597451.435971 yylex_token: Rotate through the panes
1754597451.435974 yylex_token: end at WS
1754597451.435976 yylex_token: C-o
1754597451.435979 yylex_token: end at WS
1754597451.435982 yylex_token: rotate-window
1754597451.435986 cmd_parse_build_commands 0:0: bind
1754597451.435989 cmd_parse_build_commands 0:1: -N
1754597451.435992 cmd_parse_build_commands 0:2: Rotate through the panes
1754597451.435995 cmd_parse_build_commands 0:3: C-o
1754597451.435998 cmd_parse_build_commands 0:4 0:0: rotate-window
1754597451.436002 cmd_parse_build_commands 0:0: rotate-window
1754597451.436006 args_parse: flags end at 1 of 1
1754597451.436009 cmd_parse_build_commands: rotate-window
1754597451.436012 args_parse_flags: next -N
1754597451.436015 args_parse_flag_argument: -N = Rotate through the panes
1754597451.436018 args_parse_flags: next C-o
1754597451.436022 args_parse: flags end at 3 of 5
1754597451.436025 args_parse: 3 = C-o (type STRING)
1754597451.436028 args_parse: 4 = rotate-window (type COMMANDS)
1754597451.436035 cmd_parse_build_commands: bind-key -N "Rotate through the panes" C-o { rotate-window }
1754597451.436039 cmdq_get_command: [bind-key/0x1920492ab500] group 14
1754597451.436041 cmdq_append <global>: [bind-key/0x1920492ab500]
1754597451.436044 yylex_token: end at WS
1754597451.436047 yylex_token: bind
1754597451.436050 yylex_token: end at WS
1754597451.436054 yylex_token: -N
1754597451.436058 yylex_token: end at WS
1754597451.436061 yylex_token: Suspend the current client
1754597451.436063 yylex_token: end at WS
1754597451.436066 yylex_token: C-z
1754597451.436069 yylex_token: end at WS
1754597451.436072 yylex_token: suspend-client
1754597451.436075 cmd_parse_build_commands 0:0: bind
1754597451.436078 cmd_parse_build_commands 0:1: -N
1754597451.436081 cmd_parse_build_commands 0:2: Suspend the current client
1754597451.436083 cmd_parse_build_commands 0:3: C-z
1754597451.436088 cmd_parse_build_commands 0:4 0:0: suspend-client
1754597451.436091 cmd_parse_build_commands 0:0: suspend-client
1754597451.436095 args_parse: flags end at 1 of 1
1754597451.436099 cmd_parse_build_commands: suspend-client
1754597451.436101 args_parse_flags: next -N
1754597451.436105 args_parse_flag_argument: -N = Suspend the current client
1754597451.436108 args_parse_flags: next C-z
1754597451.436110 args_parse: flags end at 3 of 5
1754597451.436113 args_parse: 3 = C-z (type STRING)
1754597451.436117 args_parse: 4 = suspend-client (type COMMANDS)
1754597451.436124 cmd_parse_build_commands: bind-key -N "Suspend the current client" C-z { suspend-client }
1754597451.436127 cmdq_get_command: [bind-key/0x1920492ab600] group 22
1754597451.436130 cmdq_append <global>: [bind-key/0x1920492ab600]
1754597451.436133 yylex_token: end at WS
1754597451.436136 yylex_token: bind
1754597451.436139 yylex_token: end at WS
1754597451.436141 yylex_token: -N
1754597451.436145 yylex_token: end at WS
1754597451.436151 yylex_token: Select next layout
1754597451.436154 yylex_token: end at WS
1754597451.436156 yylex_token: Space
1754597451.436159 yylex_token: end at WS
1754597451.436162 yylex_token: next-layout
1754597451.436165 cmd_parse_build_commands 0:0: bind
1754597451.436168 cmd_parse_build_commands 0:1: -N
1754597451.436171 cmd_parse_build_commands 0:2: Select next layout
1754597451.436173 cmd_parse_build_commands 0:3: Space
1754597451.436177 cmd_parse_build_commands 0:4 0:0: next-layout
1754597451.436182 cmd_parse_build_commands 0:0: next-layout
1754597451.436186 args_parse: flags end at 1 of 1
1754597451.436189 cmd_parse_build_commands: next-layout
1754597451.436192 args_parse_flags: next -N
1754597451.436195 args_parse_flag_argument: -N = Select next layout
1754597451.436198 args_parse_flags: next Space
1754597451.436201 args_parse: flags end at 3 of 5
1754597451.436203 args_parse: 3 = Space (type STRING)
1754597451.436206 args_parse: 4 = next-layout (type COMMANDS)
1754597451.436212 cmd_parse_build_commands: bind-key -N "Select next layout" Space { next-layout }
1754597451.436218 cmdq_get_command: [bind-key/0x1920492ab700] group 30
1754597451.436220 cmdq_append <global>: [bind-key/0x1920492ab700]
1754597451.436223 yylex_token: end at WS
1754597451.436226 yylex_token: bind
1754597451.436229 yylex_token: end at WS
1754597451.436231 yylex_token: -N
1754597451.436235 yylex_token: end at WS
1754597451.436238 yylex_token: Break pane to a new window
1754597451.436241 yylex_token: end at WS
1754597451.436245 yylex_token: !
1754597451.436248 yylex_token: end at WS
1754597451.436250 yylex_token: break-pane
1754597451.436254 cmd_parse_build_commands 0:0: bind
1754597451.436256 cmd_parse_build_commands 0:1: -N
1754597451.436259 cmd_parse_build_commands 0:2: Break pane to a new window
1754597451.436262 cmd_parse_build_commands 0:3: !
1754597451.436265 cmd_parse_build_commands 0:4 0:0: break-pane
1754597451.436269 cmd_parse_build_commands 0:0: break-pane
1754597451.436272 args_parse: flags end at 1 of 1
1754597451.436276 cmd_parse_build_commands: break-pane
1754597451.436279 args_parse_flags: next -N
1754597451.436282 args_parse_flag_argument: -N = Break pane to a new window
1754597451.436285 args_parse_flags: next !
1754597451.436287 args_parse: flags end at 3 of 5
1754597451.436290 args_parse: 3 = ! (type STRING)
1754597451.436293 args_parse: 4 = break-pane (type COMMANDS)
1754597451.436299 cmd_parse_build_commands: bind-key -N "Break pane to a new window" ! { break-pane }
1754597451.436303 cmdq_get_command: [bind-key/0x1920492ab800] group 38
1754597451.436307 cmdq_append <global>: [bind-key/0x1920492ab800]
1754597451.436310 yylex_token: end at WS
1754597451.436313 yylex_token: bind
1754597451.436316 yylex_token: end at WS
1754597451.436318 yylex_token: -N
1754597451.436322 yylex_token: end at WS
1754597451.436324 yylex_token: Split window vertically
1754597451.436327 yylex_token: end at WS
1754597451.436330 yylex_token: "
1754597451.436333 yylex_token: end at WS
1754597451.436335 yylex_token: split-window
1754597451.436340 cmd_parse_build_commands 0:0: bind
1754597451.436343 cmd_parse_build_commands 0:1: -N
1754597451.436346 cmd_parse_build_commands 0:2: Split window vertically
1754597451.436348 cmd_parse_build_commands 0:3: "
1754597451.436352 cmd_parse_build_commands 0:4 0:0: split-window
1754597451.436355 cmd_parse_build_commands 0:0: split-window
1754597451.436359 args_parse: flags end at 1 of 1
1754597451.436362 cmd_parse_build_commands: split-window
1754597451.436365 args_parse_flags: next -N
1754597451.436368 args_parse_flag_argument: -N = Split window vertically
1754597451.436372 args_parse_flags: next "
1754597451.436374 args_parse: flags end at 3 of 5
1754597451.436377 args_parse: 3 = " (type STRING)
1754597451.436380 args_parse: 4 = split-window (type COMMANDS)
1754597451.436386 cmd_parse_build_commands: bind-key -N "Split window vertically" \\" { split-window }
1754597451.436390 cmdq_get_command: [bind-key/0x1920492ab900] group 46
1754597451.436393 cmdq_append <global>: [bind-key/0x1920492ab900]
1754597451.436398 yylex_token: end at WS
1754597451.436401 yylex_token: bind
1754597451.436404 yylex_token: end at WS
1754597451.436406 yylex_token: -N
1754597451.436410 yylex_token: end at WS
1754597451.436412 yylex_token: List all paste buffers
1754597451.436415 yylex_token: end at WS
1754597451.436418 yylex_token: #
1754597451.436421 yylex_token: end at WS
1754597451.436423 yylex_token: list-buffers
1754597451.436427 cmd_parse_build_commands 0:0: bind
1754597451.436430 cmd_parse_build_commands 0:1: -N
1754597451.436446 cmd_parse_build_commands 0:2: List all paste buffers
1754597451.436448 cmd_parse_build_commands 0:3: #
1754597451.436452 cmd_parse_build_commands 0:4 0:0: list-buffers
1754597451.436455 cmd_parse_build_commands 0:0: list-buffers
1754597451.436459 args_parse: flags end at 1 of 1
1754597451.436462 cmd_parse_build_commands: list-buffers
1754597451.436464 args_parse_flags: next -N
1754597451.436467 args_parse_flag_argument: -N = List all paste buffers
1754597451.436470 args_parse_flags: next #
1754597451.436474 args_parse: flags end at 3 of 5
1754597451.436477 args_parse: 3 = # (type STRING)
1754597451.436480 args_parse: 4 = list-buffers (type COMMANDS)
1754597451.436486 cmd_parse_build_commands: bind-key -N "List all paste buffers" \\# { list-buffers }
1754597451.436490 cmdq_get_command: [bind-key/0x1920492aba00] group 54
1754597451.436492 cmdq_append <global>: [bind-key/0x1920492aba00]
1754597451.436495 yylex_token: end at WS
1754597451.436498 yylex_token: bind
1754597451.436500 yylex_token: end at WS
1754597451.436504 yylex_token: -N
1754597451.436508 yylex_token: end at WS
1754597451.436511 yylex_token: Rename current session
1754597451.436513 yylex_token: end at WS
1754597451.436516 yylex_token: $
1754597451.436519 yylex_token: end at WS
1754597451.436522 yylex_token: command-prompt
1754597451.436525 yylex_token: end at WS
1754597451.436528 yylex_token: -I#S
1754597451.436531 yylex_token: end at WS
1754597451.436534 yylex_token: rename-session
1754597451.436536 yylex_token: end at WS
1754597451.436539 yylex_token: --
1754597451.436543 yylex_token: end at WS
1754597451.436545 yylex_token: %%
1754597451.436549 cmd_parse_build_commands 0:0: bind
1754597451.436552 cmd_parse_build_commands 0:1: -N
